"","title","author","path","date","response"
"76","[新聞] 大陸電影配額限量 朱延平砲轟政府","tokudane","/bbs/movie/M.1370432655.A.3EA.html"," 6/05","5"
"77","[新聞] 《飢餓遊戲》惡搞版電影全新預告出爐！","friday5","/bbs/movie/M.1370433867.A.AA7.html"," 6/05","16"
"78","[好雷] 無敵破壞王","prc","/bbs/movie/M.1370433873.A.9E5.html"," 6/05","5"
"79","[請益] NO CAPES!","wildbloodcat","/bbs/movie/M.1370434662.A.290.html"," 6/05","2"
"80","[大爆炸性爛雷] 玩命關頭6  ","bandongo","/bbs/movie/M.1370435879.A.27E.html"," 6/05","X1"
"81","[轉錄] 王寶強(傻根):大哥是我身後那棵""樹""","wty","/bbs/movie/M.1370436363.A.AF7.html"," 6/05","9"
"82","[片單] 互相喜歡的兩個人始終沒有在一起?","startar","/bbs/movie/M.1370436553.A.A4A.html"," 6/05","爆"
"83","[討論] 惡之教典的幾個小問題 應該是有雷","lolav","/bbs/movie/M.1370437270.A.3C2.html"," 6/05","6"
"84","Re: [請益] 地球過後怎都還沒鄉民影評","twyes1688","/bbs/movie/M.1370437896.A.D8F.html"," 6/05","10"
"85","Re: [好雷]決殺令 ","Verola","/bbs/movie/M.1370438199.A.31E.html"," 6/05","9"
"86","[負雷] 地球過後","johnny30315","/bbs/movie/M.1370439947.A.E5C.html"," 6/05","47"
"87","[好雷] 別看預告超好看的出神入化 ","justfor48","/bbs/movie/M.1370442945.A.E2C.html"," 6/05","10"
"88","[普雷] 地球過後","dolaamon7673","/bbs/movie/M.1370444138.A.476.html"," 6/05","4"
"89","[問片] 類似paperman的地鐵塗鴉愛情短片","suneo31","/bbs/movie/M.1370445626.A.352.html"," 6/05","6"
"90","[普雷] 地球過後...","QooMicky","/bbs/movie/M.1370445669.A.510.html"," 6/05","10"
"91","[普雷] 出神入化 Now You See Me","houseau3","/bbs/movie/M.1370447363.A.DA3.html"," 6/05","8"
"92","[好雷] 玩命關頭6 - 欠韓哥一個交代！","otherside","/bbs/movie/M.1370448360.A.79C.html"," 6/06","9"
"93","[討論] 「人類清除計畫」已經打算要拍續集","beckseaton","/bbs/movie/M.1370448629.A.182.html"," 6/06","19"
"94","[新聞] 【摯愛永恆】土耳其辣妹，勾男著床吹喇叭","kkaicd1","/bbs/movie/M.1370449197.A.2DB.html"," 6/06","1"
"95","[巨雷]Man of Steel的劇情 ","sunny1991225","/bbs/movie/M.1370450265.A.CC9.html"," 6/06","22"
"96","Re: [有雷] 再看搶救雷恩大兵小感","McCain","/bbs/movie/M.1370450303.A.FEA.html"," 6/06","24"
"97","[負雷] 出神入化 - 幼幼班等級的智慧犯罪","michaelch","/bbs/movie/M.1370450452.A.AED.html"," 6/06","15"
"98","[問片] 一部華語片，關於垃圾車的","vinceiverson","/bbs/movie/M.1370450895.A.CAB.html"," 6/06","3"
"99","[問片] 戰爭片 擔任負責通知死訊的工作","KiKen","/bbs/movie/M.1370452754.A.C6E.html"," 6/06","2"
"100","Re: [新聞] 大陸電影配額限量 朱延平砲轟政府","hoopps","/bbs/movie/M.1370455263.A.EFF.html"," 6/06","6"
"101","[普雷] 地球過後 ","ppoyi","/bbs/movie/M.1370455916.A.7FA.html"," 6/06","4"
"102","[討論] 玩命關頭6 疑問","hubertliang","/bbs/movie/M.1370456410.A.51C.html"," 6/06","3"
"103","[負雷] 蜘蛛人驚奇再起..史上究極爛片","whatafuck","/bbs/movie/M.1370457215.A.B14.html"," 6/06","55"
"104","[負雷]地球過後 之魔物獵人? ","yesmango","/bbs/movie/M.1370457774.A.D55.html"," 6/06","9"
"105","[普雷]《漂流社群》神秘原因，孩童集體消失 ","bradcool","/bbs/movie/M.1370459584.A.B0D.html"," 6/06","3"
"106","[ 惡 雷]地球過後 ","RRloveDD","/bbs/movie/M.1370465137.A.2BE.html"," 6/06","7"
"107","[新聞]  史柯西斯明夏台北拍片 蜘蛛人沉默傳教 ","octobird","/bbs/movie/M.1370467781.A.E28.html"," 6/06","8"
"108","Re: [負雷] 出神入化 - 幼幼班等級的智慧犯罪","p52189","/bbs/movie/M.1370467971.A.F1F.html"," 6/06","4"
"109","[轉錄] 邊芹:法國電影界的“恐怖分子”","wty","/bbs/movie/M.1370468785.A.016.html"," 6/06",""
"110","[贈票] 看電影愛台灣 電影節票券贈獎辦法","airportman","/bbs/movie/M.1370482694.A.464.html"," 6/06",""
"111","[無雷] 晚娘下部：罪色","milkdicky","/bbs/movie/M.1370486508.A.133.html"," 6/06","2"
"112","[討論] 「陰兒房2」預告","beckseaton","/bbs/movie/M.1370487934.A.6B9.html"," 6/06","22"
"113","[轉錄] 張藝謀：所有一切，還在路上","wty","/bbs/movie/M.1370488824.A.60B.html"," 6/06","2"
"114","[問片] 一部趙正平有客串的台片(外星人台灣現形記)","Zenxiety","/bbs/movie/M.1370492010.A.D1A.html"," 6/06","3"
"115","[新聞] 艾瑪史東撞臉蜜拉庫妮絲 新片2014上映","queeniwu","/bbs/movie/M.1370493474.A.663.html"," 6/06","12"
"116","[選片] 地球過後,大亨小傳","peal","/bbs/movie/M.1370493700.A.6EE.html"," 6/06","19"
"117","[問片] 問一部有關於""夢境""的電影(有雷)","gold97972000","/bbs/movie/M.1370495329.A.CB0.html"," 6/06","7"
"118","Re: [討論] 「陰兒房2」預告","godofnet","/bbs/movie/M.1370497802.A.338.html"," 6/06","7"
"119","Re: [負雷] 蜘蛛人驚奇再起..史上究極爛片","REDBLUEr","/bbs/movie/M.1370498118.A.8B4.html"," 6/06",""
"120","[史上無敵超級大爛雷]地球過後","lyt1983","/bbs/movie/M.1370498141.A.A4C.html"," 6/06","17"
"121","Re: [好雷] 客製化女神","ga030468","/bbs/movie/M.1370498884.A.73A.html"," 6/06","8"
"122","[討論] 超人跟鋼鐵人誰飛得比較快?","PttJoke","/bbs/movie/M.1370499723.A.1A0.html"," 6/06","24"
"123","[討論] 開心鬼上身   悶慘…","spspxlg02","/bbs/movie/M.1370500179.A.45F.html"," 6/06","25"
"124","[新聞]【親你跟我這樣做】傑瑞米艾肯練碧娜鮑許","kmovie","/bbs/movie/M.1370501910.A.E7F.html"," 6/06",""
"125","[新聞] 雙影帝級卡司 【末路車神】明日全台上映","kmovie","/bbs/movie/M.1370502122.A.E92.html"," 6/06","2"
"126","[請益] 地球過後中間的小片段(有雷)","smallcane","/bbs/movie/M.1370504104.A.367.html"," 6/06","1"
"127","[討論]【逆轉王牌】預告 班艾佛列克x賈斯汀主演","tkuaaa","/bbs/movie/M.1370504697.A.11D.html"," 6/06","3"
"128","[片單] 內容有講到職棒球迷的作品","sanji6311","/bbs/movie/M.1370509952.A.72F.html"," 6/06","16"
"129","[討論] 盧貝松x勞勃狄尼洛新片 The Family 預告","nerve333","/bbs/movie/M.1370510972.A.2B9.html"," 6/06","3"
"130","[討論] 張孝全""被偷走的那五年""劇照曬恩愛NEW!","northoslo","/bbs/movie/M.1370514034.A.3B3.html"," 6/06","2"
"131","[討論] 死屍大片：地球三部曲","killeryuan","/bbs/movie/M.1370514492.A.688.html"," 6/06","10"
"132","Re: [討論] 超人跟鋼鐵人誰飛得比較快?","cl3ru6ai48","/bbs/movie/M.1370514899.A.A06.html"," 6/06","39"
"133","[負雷] 地球過後","click","/bbs/movie/M.1370515047.A.307.html"," 6/06","7"
"134","Re: [負雷] 蜘蛛人驚奇再起..史上究極爛片","ianpanda0406","/bbs/movie/M.1370516472.A.85E.html"," 6/06","60"
"135","[新聞] 道格拉斯布斯帥氣詮釋新版羅密歐與茱麗葉","tomford","/bbs/movie/M.1370518177.A.F1C.html"," 6/06","12"
"136","[豪雷]大亨小傳，執著的愛。 ","greed720","/bbs/movie/M.1370518981.A.64E.html"," 6/06","12"
"137","Re: [好雷] 森林戰士 (國語配音)","keikolin","/bbs/movie/M.1370519230.A.13C.html"," 6/06",""
"138","Re: [討論] 香港最會演的女演員","a9a99","/bbs/movie/M.1370519633.A.5CC.html"," 6/06","11"
"139","[新聞] 【超世紀戰警：闇黑對決】中文預告","kmovie","/bbs/movie/M.1370519738.A.772.html"," 6/06","10"
"140","[新聞] 新海誠【言葉之庭】6/21起高雄夢時代","sannosekai","/bbs/movie/M.1370520368.A.10C.html"," 6/06","4"
"141","[新聞] 《絕海的偵探》問鼎柯南最高票房　回歸","iam168888888","/bbs/movie/M.1370520938.A.AA2.html"," 6/06","13"
"142","[轉錄] 霸王別姬編劇:中國電影界文盲多","wty","/bbs/movie/M.1370521426.A.64B.html"," 6/06","8"
"143","Re: [負雷] 蜘蛛人驚奇再起..史上究極爛片","nagisaK","/bbs/movie/M.1370523438.A.0D6.html"," 6/06",""
"144","[新聞] 蔡健雅打造【愛在午夜希臘時】電影主題曲","kkaicd1","/bbs/movie/M.1370526383.A.FAD.html"," 6/06","1"
"145","[請益] 美國情緣","ddtjam","/bbs/movie/M.1370527458.A.A71.html"," 6/06","2"
"146","[請益] 真愛找冤家 (Fly me to the moon) ","lj0113","/bbs/movie/M.1370527484.A.772.html"," 6/06","3"
"147","Re: [負雷] 蜘蛛人驚奇再起..史上究極爛片","yoyomoyo","/bbs/movie/M.1370528388.A.87D.html"," 6/06","7"
"148","[請益] 玩命關頭6台灣電檢挨刀? ","mtvabc","/bbs/movie/M.1370528435.A.284.html"," 6/06","15"
"149","[贈票] 《天機.富春山居圖》電影交換卷","boneyshan","/bbs/movie/M.1370529785.A.E01.html"," 6/06",""
"150","[請益] 蜘蛛人(舊)的女配角","jolinjolin","/bbs/movie/M.1370530658.A.F22.html"," 6/06","5"
"151","[討論] 蓋瑞歐德曼+哈里遜福特新片Paranoia預告","beckseaton","/bbs/movie/M.1370532614.A.9D0.html"," 6/06","7"
"152","[半好雷] 末路車神~請不要當警匪片來看~ ","tsukachan","/bbs/movie/M.1370533032.A.D50.html"," 6/06","6"
"153","[討論]【黑執事】首發劇照 水嶋斐呂x剛力彩芽","tkuaaa","/bbs/movie/M.1370533578.A.09F.html"," 6/06","6"
"154","[請益] 周潤發的代表作??","littlest","/bbs/movie/M.1370534896.A.38A.html"," 6/07","33"
"155","[好雷] 《腦男》殺戮的正義 ","vollier","/bbs/movie/M.1370535463.A.FC1.html"," 6/07","14"
"156","[討論] Nokia獨家超人：鋼鐵英雄預告","alljerry04","/bbs/movie/M.1370535546.A.48B.html"," 6/07","11"
"157","[普雷] 地球過後 -愛與中二生的奇幻旅程 觀後感","alarm1461","/bbs/movie/M.1370535547.A.065.html"," 6/07","4"
"158","[好雷] 出神入化 - 魔術怎會如此迷人","otherside","/bbs/movie/M.1370535777.A.E15.html"," 6/07","6"
"159","[討論] 洋片幾乎都電腦動畫,會失去吸引力嗎","vivicc","/bbs/movie/M.1370536049.A.D41.html"," 6/07","10"
"160","[問片] 去年上映的一部很多人衝上圍牆的片","cherish508","/bbs/movie/M.1370536335.A.DD3.html"," 6/07","6"
"161","[好無雷] 下檔前快衝吧!星際爭霸戰闇黑無界","bluenicole","/bbs/movie/M.1370540030.A.C04.html"," 6/07","59"
"162","[心得] 地球過後(普雷)","zhiyue","/bbs/movie/M.1370540572.A.BF4.html"," 6/07","3"
"163","Re: [討論] 「陰兒房2」預告","FRANKYCHang","/bbs/movie/M.1370542924.A.E9A.html"," 6/07","5"
"164","Re: [討論] 雷神索爾  vs  超人  誰比較強?","carotyao","/bbs/movie/M.1370543680.A.CCA.html"," 6/07","15"
"165","[好雷] 聖誕玫瑰─簡單，卻因矛盾而豐富 ","sunnyborage","/bbs/movie/M.1370543918.A.CDE.html"," 6/07","1"
"166","Re: [請益] 周潤發的代表作??","lpboyboy","/bbs/movie/M.1370545383.A.BC0.html"," 6/07","21"
"167","[轉錄]《霸王別姬》上映20年 編劇蘆葦揭拍攝秘事","wty","/bbs/movie/M.1370562413.A.090.html"," 6/07","23"
"168","[討論]【蜘蛛人：驚奇再起2】英雄救美 關綑綁彼得俏皮破表","northoslo","/bbs/movie/M.1370566016.A.6E2.html"," 6/07","5"
"169","[贈票]【超人：鋼鐵英雄】特映券(是3DIMAX的唷!)","mangofly","/bbs/movie/M.1370573220.A.DC9.html"," 6/07",""
"170","[好雷]末日車神/The Place Beyond the Pines ","hellokidding","/bbs/movie/M.1370575124.A.328.html"," 6/07","6"
"171","[新聞] 成龍留手足鼻印在好萊塢中國戲院 瞬間變","fta168","/bbs/movie/M.1370575586.A.239.html"," 6/07","3"
"172","[普雷] 終極警探5：跨國救援 ","carlowei","/bbs/movie/M.1370575647.A.AA6.html"," 6/07","7"
"173","[贈票] 免費【末日之戰】電影票-布萊德彼特主演","littlewanzz","/bbs/movie/M.1370576449.A.B80.html"," 6/07","2"
"174","[贈票]《淒厲人妻》電影特映會贈票 ","ivan0511","/bbs/movie/M.1370576548.A.7D2.html"," 6/07",""
"175","[問片]  一群骷顱頭把人的舌頭拔掉","rhonda117","/bbs/movie/M.1370579831.A.BA9.html"," 6/07","5"
"176","[贈票] 草食男之桃花期．今夏最繽紛的戀愛喜劇","Priscilla425","/bbs/movie/M.1370581166.A.D86.html"," 6/07","5"
"177","[贈票]【海闊天空－中國合伙人】特映卷，黃曉明","elitetw","/bbs/movie/M.1370581765.A.F29.html"," 6/07","1"
"178","[問片] 蠻荒的叢林中做冰塊的片子..","rogerhsu1121","/bbs/movie/M.1370581948.A.B3C.html"," 6/07","3"
"179","[普雷] 地球過後:睡醒過後","arsl400","/bbs/movie/M.1370582424.A.674.html"," 6/07","7"
"180","[轉錄] 邊芹:“傑作”的流水生產線","wty","/bbs/movie/M.1370582755.A.AE6.html"," 6/07",""
"181","[普好雷] 森林戰士:靠近點看...(Epic)","arsl400","/bbs/movie/M.1370584012.A.398.html"," 6/07","2"
"182","[請益] 玩命關頭6的英文","enercon","/bbs/movie/M.1370584327.A.EBD.html"," 6/07","12"
"183","[問片] 主角在賣場遇到搶劫","icexfox","/bbs/movie/M.1370584825.A.07C.html"," 6/07","2"
"184","[負雷] 神劍闖江湖 真人版 ","open13","/bbs/movie/M.1370585119.A.210.html"," 6/07",""
"185","[討論]【ATARU】劇場版預告 中居正廣V.S堀北真希","tkuaaa","/bbs/movie/M.1370585143.A.9D6.html"," 6/07","1"
"186","[討論] 超人：鋼鐵英雄 多支電影片段","alljerry04","/bbs/movie/M.1370585175.A.0C9.html"," 6/07","22"
"187","[新聞] 台北電影節公布首部神秘場《放浪青春》","Ruke","/bbs/movie/M.1370585594.A.132.html"," 6/07",""
"188","[好雷]聖誕玫瑰觀後感 (微雷)","fvae","/bbs/movie/M.1370590965.A.99E.html"," 6/07","2"
"189","[轉錄] 黃勃:我站在這裡，感覺很好","wty","/bbs/movie/M.1370596730.A.5A0.html"," 6/07","14"
"190","[討論]【X戰警:未來昔日】萬磁王力鬥野獸片場照","tkuaaa","/bbs/movie/M.1370598254.A.8F6.html"," 6/07","13"
"191","[新聞] 金秀賢《偉大的隱藏者》扮傻瓜 學習英九 取名東九","seimove","/bbs/movie/M.1370602072.A.C38.html"," 6/07",""
"192","[新聞] 【再一次初戀】中文預告公布","kmovie","/bbs/movie/M.1370603059.A.071.html"," 6/07",""
"193","[新聞] Tizzy Bac【親你跟我這樣做】中文主題曲","kmovie","/bbs/movie/M.1370603152.A.2FA.html"," 6/07","2"
"194","[問片] 小時候看的活屍會邊強姦邊吃人的恐怖片","akida","/bbs/movie/M.1370606312.A.05C.html"," 6/07","3"
"195","[新聞] 《足球尤物》亞曼達拜恩受邀拍花花公子？","Margiela","/bbs/movie/M.1370606739.A.B64.html"," 6/07","15"
"196","[問片] 巴托里伯爵夫人","Syci","/bbs/movie/M.1370607805.A.6D5.html"," 6/07","2"
"197","[新聞] 泳將出身好萊塢女星去世 享壽91","iam168888888","/bbs/movie/M.1370608343.A.E3B.html"," 6/07","2"
"198","[新聞] 台灣電影「真人實事改編」現在正夯","sampsonlu919","/bbs/movie/M.1370608966.A.57C.html"," 6/07","7"
"199","[請益] 巧克力冒險工廠","fanny2","/bbs/movie/M.1370609424.A.E45.html"," 6/07","6"
"200","[選片] 鋼鐵人 大亨小傳","vsch97240","/bbs/movie/M.1370611727.A.FBE.html"," 6/07","18"
"201","[請益] 靈異第六感","ji3g4u45m6","/bbs/movie/M.1370612322.A.D90.html"," 6/07","13"
"202","[新聞] 「怪獸」12年後回春 大叔繼續獻聲","sampsonlu919","/bbs/movie/M.1370613822.A.36A.html"," 6/07","6"
"203","Re: [請益] 靈異第六感","belleaya","/bbs/movie/M.1370614132.A.26A.html"," 6/07","4"
"204","[討論] 女生是不是大部份對超人不太感興趣?","NANJO1569","/bbs/movie/M.1370615143.A.C37.html"," 6/07","87"
"205","[請益] 台北電影節的影片是否有附字幕","eatmonkey","/bbs/movie/M.1370615438.A.060.html"," 6/07","2"
"206","[問片] 一部義大利 出車禍找人頂罪的片子","RDA","/bbs/movie/M.1370616048.A.ABE.html"," 6/07","1"
"207","Re: [請益] 巧克力冒險工廠","SPACEGIRL","/bbs/movie/M.1370616174.A.B41.html"," 6/07","8"
"208","Re: [負雷] 蜘蛛人驚奇再起..史上究極爛片","CoreDown","/bbs/movie/M.1370616657.A.3C9.html"," 6/07","14"
"209","[問片] 一部講獨裁的德語片(已解 惡魔教室)","cliff02468","/bbs/movie/M.1370619898.A.ADE.html"," 6/07","4"
"210","[問片] 女主角好像看到帥哥會腳軟的片[已解決-神魂顛倒]","tangkuai","/bbs/movie/M.1370620018.A.D51.html"," 6/07","3"
"211","[請益] 問兩部舊片","setom","/bbs/movie/M.1370620313.A.1B6.html"," 6/07",""
"212","Re: [請益] 靈異第六感","AssetDebt","/bbs/movie/M.1370620557.A.8AF.html"," 6/07","5"
"213","[問片] 女主角破棺而出","Quentin5887","/bbs/movie/M.1370620673.A.E63.html"," 6/07","27"
"214","[討論] 今晚九點電影/週末電影精選(含MOD)","xFANx","/bbs/movie/M.1370620830.A.031.html"," 6/08","18"
"215","[請益] 特務謎雲劇情一問(有雷)","doris5kj","/bbs/movie/M.1370621152.A.813.html"," 6/08","3"
"216","[問片] 進入別人心中","vin00","/bbs/movie/M.1370622600.A.7F4.html"," 6/08","2"
"217","[好雷] 無敵破壞王","kyojason","/bbs/movie/M.1370622945.A.AEB.html"," 6/08","7"
"218","[討論] 阿諾x史特龍新電影Escape Plan釋出海報","beckseaton","/bbs/movie/M.1370623496.A.517.html"," 6/08","11"
"219","[問片] 一部惡搞活屍電影 已解:詭屋","cupspage8","/bbs/movie/M.1370623855.A.51F.html"," 6/08","8"
